speaker,vowel,context,word,F1,F2
ral139,e,oral,RESIDENCE,-0.21608845556586767,0.17340308214091818
ral139,e,oral,LETTING,0.2273514061213317,0.13655131512359261
ral139,i,oral,IT,-1.3333317097764235,1.9765794379655086
ral139,e,oral,EVERYBODY,-0.8093507171240811,0.6743802264634656
ral139,i,oral,IS,-0.9675186618154973,0.36324786928069813
ral139,i,oral,FIFTY,-1.0207049514248807,0.6857590176828505
ral139,i,nasal,IN,-0.8661799032820522,1.7604082656863342
ral139,e,oral,SETTLED,0.43387052318491487,0.2695797288338543
ral139,i,oral,IT,-0.39783587609905235,-0.31733315008418345
ral139,i,nasal,IN,0.04653126834596927,1.5438233191809998
ral139,e,oral,GET,-0.27543455206649903,0.533283215343095
ral139,i,oral,IT,-1.0278582755566532,1.7367972739061108
ral139,e,oral,ELEMENT,0.25278544747874554,0.5986336821871528
ral139,i,oral,FIFTY,-0.9416209790791726,0.5642128387485136
ral139,i,nasal,IN,-0.22542751762679278,0.3428436277532108
ral139,i,nasal,IN,-0.30537253824762123,0.5727469321630526
ral139,e,nasal,BENEFITS,-0.2730501106892414,0.22721959243078085
ral139,i,oral,FIFTY,-0.6144888690159795,0.3854882339367686
ral139,e,oral,SEVEN,0.24145935093677204,0.4024788380984407
ral139,i,oral,IT,-0.6507853655364554,1.5689342425310513
ral139,i,oral,DID,-1.2510022477783371,1.7365903867930312
ral139,e,oral,LESS,0.8472399297255883,0.21237544206731074
ral139,e,oral,EXCEPT,0.085212206243702,0.4089699212713169
ral139,i,oral,LIVED,-0.5161968966868081,0.34354187175985484
ral139,e,oral,GET,-0.5681909656075628,1.1596856719702253
ral139,e,nasal,WHEN,-0.4212166484927163,0.25732166738388074
ral139,e,nasal,THEM,-0.09653521428948271,0.5734451761696967
ral139,e,nasal,THEM,-0.1556163728593079,0.042443539561453615
ral139,e,oral,FELLOWSHIP,0.8705544676365506,-0.6699980952177056
ral139,e,oral,ELSE,0.12634382000139463,0.766444991783943
ral139,i,oral,WITH,-0.922412979095709,0.46682073026623466
ral139,i,nasal,IN,-0.7773594619792094,1.3186525574828565
ral139,e,oral,RESIDENCE,-0.6205824414245267,-0.09870519333718684
ral139,e,nasal,WENT,-0.16820092457261215,0.34692964823653516
ral139,i,oral,DID,-1.232390358139188,1.5560037979635686
ral139,i,nasal,IN,-0.17111524181148208,0.9291358453320093
ral139,e,nasal,THEM,-0.9296987721928849,0.6750784704701096
ral139,i,oral,IT,-0.618396703495374,0.4277707876724367
ral139,e,oral,FOREVER,0.03255579249593198,0.15067136059128378
ral139,i,oral,IT,-1.1968886754111314,0.7192488691126313
ral139,e,oral,GET,-0.23827700727090242,0.5552391102186806
ral139,e,oral,RESIDENCE,-0.1611138349235408,-0.0712667899649889
ral139,e,oral,JETS,0.42810812318987584,0.41295249819810154
ral139,i,oral,KIDS,-0.8764462481008,1.3207990112810584
ral139,e,oral,LETTING,-0.04076577985473741,0.5977026901782938
ral139,i,oral,UNTIL,-0.7861024136958202,0.06483906955233378
ral139,i,nasal,DINNER,-0.2125780279826824,0.5881083003092216
ral139,i,oral,THIS,-1.2502736684686193,0.6924828488579413
ral139,e,nasal,ANYWAY,-0.11832635909830823,1.3949680413201397
ral139,e,oral,MYSELF,-0.27795146240915974,0.017151589987457614
ral139,i,oral,IT,0.020169944230733115,0.7243951860504888
ral139,e,oral,UNLESS,-0.16979055215745056,0.05532226235066638
ral139,e,oral,REST,0.07779394418112298,0.32212905555610366
ral139,i,oral,HIT,-0.863927930870198,1.5213243456335794
ral139,i,oral,SUPERVISION,-0.7037067172150323,0.5726434886065123
ral139,e,oral,GET,-0.37021609681248624,1.0976971207137127
ral139,i,oral,IT,-0.8560460274287078,0.6701131797561967
ral139,i,oral,VISITING,-1.4208274614252345,0.7280674323076541
ral139,i,oral,IT,-1.066804151385193,1.6235265794949623
ral139,i,oral,IT,-0.5856768690407845,1.5341772075336577
ral139,i,nasal,IN,-0.2681487589693231,1.5122730344363415
ral139,e,oral,NEVER,0.5689888678961748,0.7118009330417611
ral139,i,oral,IT,-0.7295381654686554,1.005373746501887
ral139,e,oral,GET,-0.11448475910161603,0.3781178805333032
ral139,e,oral,VERY,-0.7678216964701793,0.16362766604790138
ral139,e,oral,VERY,-1.1067435444542566,0.34832613624982317
ral139,i,oral,IT,-0.8741280412062442,0.8012796094487408
ral139,i,oral,GIVE,-1.2974988546348587,1.4459398538051564
ral139,i,oral,WITH,-0.6201188000456155,0.2907339361462555
ral139,i,nasal,IN,-0.7170198482380534,0.6519071138051812
ral139,e,oral,READY,-0.4746678760329063,0.5281886201835073
ral139,e,oral,SEVEN,0.22072795785117189,0.3788678463182177
ral139,e,oral,NEVER,0.8165071297520468,0.6775869767162019
ral139,i,oral,IT,-0.6886052551590678,1.118385832021685
ral139,i,oral,EXIST,-1.1416491168379987,0.5846946629434063
ral139,i,oral,IT,-0.7885530895557794,1.9215991876645728
ral139,i,oral,LIVED,-1.3184951856512654,0.6770697589335019
ral139,e,oral,DELI,0.1383322613703843,0.2428395694682998
ral139,i,nasal,IN,0.16939623375743337,0.35882565723861953
ral139,e,oral,NEVER,0.9110237365672271,0.7762204078769592
ral139,i,nasal,IN,-0.15502026251499407,1.2381734704948448
ral139,i,oral,IF,-0.2417212003713854,0.5182321778665454
ral139,i,nasal,VICINITY,0.04076886835093021,0.07751090522846701
ral139,e,oral,VETERANS,-0.36650696578119635,0.03771099684975515
ral139,i,nasal,IN,-0.28000473137290965,1.4627752926320183
ral139,e,oral,ELEMENT,1.196229419080308,0.22414214662371984
ral139,e,nasal,WENT,0.983484260642775,0.19967774550204256
ral139,i,oral,LIVED,-0.7595423861324795,0.7175679113188583
ral139,e,oral,VERY,-0.6346241517572655,0.7429115826711237
ral139,e,oral,VERY,-1.4497056958831314,0.03269398435757174
ral139,i,oral,LIVED,-0.8835333377498709,0.6391318345725082
ral139,i,oral,TICKETS,-0.9933501100691208,0.9192569856824522
ral139,i,nasal,IN,-0.07447913154985028,1.4894637302193028
ral139,e,nasal,EVENTS,-0.5409023587345043,1.0109079767767695
ral139,e,oral,GET,0.3703516542740821,0.3504208682697558
ral139,e,oral,VERY,-0.7739152688787264,0.9966327659742686
ral139,i,oral,IT,-0.6009108000621523,0.6773800896031223
ral139,i,nasal,IN,-0.6742986068955228,1.8029235674242174
ral139,e,oral,WHATEVER,-0.23840947623630548,0.38186770945787324
ral139,e,oral,EVERYBODY,-0.594486055240097,0.8562598597496776
ral139,e,oral,RESERVOIR,-0.40346580712868835,0.06160645841046312
ral139,e,nasal,THEN,-0.29868285549475987,0.6649410019292036
ral139,i,oral,IT,-1.1395958478742492,0.8467947743262795
ral139,i,nasal,IN,-0.7182783034093838,1.8935918447314057
ral139,i,oral,WITH,-0.8063039309198078,0.2717003217429213
ral139,i,oral,LIVED,-1.3037911304915109,0.503491471059615
ral139,i,nasal,IN,0.13475559930449746,0.551541003072381
ral139,e,oral,SLEPT,0.12932437172296685,-0.3211864225652933
ral139,e,nasal,THEN,-0.08163245568162314,1.0180197212888848
ral139,i,oral,LEGITIMATE,-1.0607768134593476,0.5148185405007301
ral139,i,oral,LIVED,-0.7119197930700305,0.9721683648525913
ral139,i,oral,SIT,-1.0377934479618929,0.7435322440103634
ral139,e,oral,TERRIBLE,-0.4706275725881087,0.5370071833785302
ral139,i,oral,IT,-0.6979443172199933,0.24832207796491274
